 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.0000;
     1    0.009               0               0               0          0.0000;
     2    0.018               0               0               0          0.0000;
     3    0.027               0               0               0          0.0000;
     4    0.035               0               0               0          0.0000;
     5    0.044               0               0               0          0.0000;
     6    0.053               0               0               0          0.0000;
     7    0.062               0               0               0          0.0000;
     8    0.071               0               0               0          0.0000;
     9    0.080               0               0               0          0.0000;
    10    0.089               0               0               0          0.0000;
    11    0.097               0               0               0          0.0000;
    12    0.106               0               0               0          0.0000;
    13    0.115               0               0               0          0.0000;
    14    0.124               0               0               0          0.0000;
    15    0.133               0               0               0          0.0000;
    16    0.142               0               0               0          0.0000;
    17    0.151               0               0               0          0.0000;
    18    0.159               0               0               0          0.0000;
    19    0.168               0               0               0          0.0000;
    20    0.177               0               0               0          0.0000;
    21    0.186               0               0               0          0.0000;
    22    0.195               0               0               0          0.0000;
    23    0.204               0               0               0          0.0000;
    24    0.213               0               0               0          0.0000;
    25    0.221               0               0               0          0.0000;
    26    0.230               0               0               0          0.0000;
    27    0.239               0               0               0          0.0000;
    28    0.248               0               0               0          0.0000;
    29    0.257               0               0               0          0.0000;
    30    0.266               0               0               0          0.0000;
    31    0.274               0               0               0          0.0000;
    32    0.283               0               0               0          0.0000;
    33    0.292               0               0               0          0.0000;
    34    0.301               0               0               0          0.0000;
    35    0.310               0               0               0          0.0000;
    36    0.319               0               0               0          0.0000;
    37    0.328               0               0               0          0.0000;
    38    0.336               0               0               0          0.0000;
    39    0.345               0               0               0          0.0000;
    40    0.354               0               0               0          0.0000;
    41    0.363               0               0               0          0.0000;
    42    0.372               0               0               0          0.0000;
    43    0.381               0               0               0          0.0000;
    44    0.390               0               0               0          0.0000;
    45    0.398               0               0               0          0.0000;
    46    0.407               0               0               0          0.0000;
    47    0.416               0               0               0          0.0000;
    48    0.425               0               0               0          0.0006;
    49    0.434               0               0               0          0.0006;
    50    0.443               0               0               0          0.0006;
    51    0.452               0               0               0          0.0006;
    52    0.460               0               0               0          0.0006;
    53    0.469               0               0               0          0.0006;
    54    0.478               0               0               0          0.0006;
    55    0.487               0               0               0          0.0006;
    56    0.496               0               0               0          0.0006;
    57    0.505               0               0               0          0.0006;
    58    0.514               0               0               0          0.0006;
    59    0.522               0               0               0          0.0006;
    60    0.531               0               0               0          0.0012;
    61    0.540               0               0               0          0.0012;
    62    0.549               0               0               0          0.0012;
    63    0.558               0               0               0          0.0012;
    64    0.567               0               0               0          0.0012;
    65    0.576               0               0               0          0.0012;
    66    0.584               0               0               0          0.0012;
    67    0.593               0               0               0          0.0012;
    68    0.602               0               0               0          0.0012;
    69    0.611               0               0               0          0.0018;
    70    0.620               0               0               0          0.0018;
    71    0.629               0               0               0          0.0018;
    72    0.638               0               0               0          0.0018;
    73    0.646               0               0               0          0.0018;
    74    0.655               0               0               0          0.0018;
    75    0.664               0               0               0          0.0018;
    76    0.673               0               0               0          0.0024;
    77    0.682               0               0               0          0.0024;
    78    0.691               0               0               0          0.0024;
    79    0.699               0               0               0          0.0024;
    80    0.708               0               0               0          0.0024;
    81    0.717               0               0               0          0.0024;
    82    0.726               0               0               0          0.0031;
    83    0.735               0               0               0          0.0031;
    84    0.744               0               0               0          0.0031;
    85    0.753               0               0               0          0.0031;
    86    0.761               0               0               0          0.0031;
    87    0.770               0               0               0          0.0037;
    88    0.779               0               0               0          0.0037;
    89    0.788               0               0               0          0.0037;
    90    0.797               0               0               0          0.0037;
    91    0.806               0               0               0          0.0043;
    92    0.815               0               0               0          0.0043;
    93    0.823               0               0               0          0.0043;
    94    0.832               0               0               0          0.0043;
    95    0.841               1               0               0          0.0049;
    96    0.850               1               0               0          0.0049;
    97    0.859               1               0               0          0.0049;
    98    0.868               1               0               0          0.0049;
    99    0.877               1               0               0          0.0055;
   100    0.885               1               0               0          0.0055;
   101    0.894               1               1               0          0.0055;
   102    0.903               1               1               0          0.0055;
   103    0.912               1               1               0          0.0061;
   104    0.921               1               1               0          0.0061;
   105    0.930               1               1               0          0.0061;
   106    0.939               1               1               0          0.0067;
   107    0.947               1               1               0          0.0067;
   108    0.956               1               1               0          0.0067;
   109    0.965               1               1               0          0.0073;
   110    0.974               1               1               0          0.0073;
   111    0.983               1               2               0          0.0073;
   112    0.992               1               2               0          0.0079;
   113    1.001               1               2               0          0.0079;
   114    1.009               1               2               0          0.0079;
   115    1.018               1               2               0          0.0085;
   116    1.027               1               3               0          0.0085;
   117    1.036               1               3               0          0.0092;
   118    1.045               1               3               0          0.0092;
   119    1.054               1               3               0          0.0092;
   120    1.063               1               3               0          0.0098;
   121    1.071               1               3               0          0.0098;
   122    1.080               1               3               0          0.0104;
   123    1.089               1               4               0          0.0104;
   124    1.098               1               4               0          0.0104;
   125    1.107               1               4               0          0.0110;
   126    1.116               1               4               0          0.0110;
   127    1.124               1               4               0          0.0116;
   128    1.133               1               4               0          0.0116;
   129    1.142               1               5               0          0.0122;
   130    1.151               1               5               1          0.0122;
   131    1.160               1               5               1          0.0128;
   132    1.169               1               5               1          0.0128;
   133    1.178               1               5               1          0.0134;
   134    1.186               1               6               1          0.0134;
   135    1.195               1               6               1          0.0140;
   136    1.204               1               6               1          0.0140;
   137    1.213               2               7               1          0.0147;
   138    1.222               2               7               1          0.0147;
   139    1.231               2               7               1          0.0153;
   140    1.240               2               7               1          0.0153;
   141    1.248               2               8               1          0.0159;
   142    1.257               2               8               2          0.0159;
   143    1.266               2               8               2          0.0165;
   144    1.275               2               8               2          0.0171;
   145    1.284               2               9               2          0.0171;
   146    1.293               2               9               2          0.0177;
   147    1.302               2               9               2          0.0177;
   148    1.310               2               9               2          0.0183;
   149    1.319               2              10               2          0.0189;
   150    1.328               2              10               2          0.0189;
   151    1.337               2              10               2          0.0195;
   152    1.346               2              10               2          0.0201;
   153    1.355               2              11               2          0.0201;
   154    1.364               2              11               2          0.0208;
   155    1.372               2              11               3          0.0214;
   156    1.381               2              11               3          0.0214;
   157    1.390               2              11               3          0.0220;
   158    1.399               2              12               3          0.0226;
   159    1.408               2              12               3          0.0226;
   160    1.417               2              12               3          0.0232;
   161    1.426               2              13               3          0.0238;
   162    1.434               3              13               3          0.0244;
   163    1.443               3              14               3          0.0244;
   164    1.452               3              14               3          0.0250;
   165    1.461               3              14               3          0.0256;
   166    1.470               3              14               3          0.0263;
   167    1.479               3              15               3          0.0263;
   168    1.488               3              15               3          0.0269;
   169    1.496               3              15               3          0.0275;
   170    1.505               3              16               3          0.0281;
   171    1.514               3              16               4          0.0287;
   172    1.523               3              16               4          0.0287;
   173    1.532               3              17               4          0.0293;
   174    1.541               3              17               4          0.0299;
   175    1.549               3              17               4          0.0305;
   176    1.558               3              18               4          0.0311;
   177    1.567               3              18               4          0.0317;
   178    1.576               3              18               4          0.0324;
   179    1.585               3              18               4          0.0330;
   180    1.594               3              19               4          0.0330;
   181    1.603               4              19               5          0.0336;
   182    1.611               4              19               5          0.0342;
   183    1.620               4              19               5          0.0348;
   184    1.629               4              20               5          0.0354;
   185    1.638               4              20               5          0.0360;
   186    1.647               4              20               5          0.0366;
   187    1.656               4              20               5          0.0372;
   188    1.665               4              21               5          0.0379;
   189    1.673               4              21               5          0.0385;
   190    1.682               4              21               5          0.0391;
   191    1.691               4              22               5          0.0397;
   192    1.700               4              22               5          0.0403;
   193    1.709               4              22               5          0.0409;
   194    1.718               4              23               6          0.0415;
   195    1.727               4              23               6          0.0421;
   196    1.735               4              24               6          0.0427;
   197    1.744               5              24               6          0.0440;
   198    1.753               5              25               6          0.0446;
   199    1.762               5              25               6          0.0452;
   200    1.771               5              26               6          0.0458;
   201    1.780               5              27               6          0.0464;
   202    1.789               5              27               6          0.0470;
   203    1.797               5              28               6          0.0476;
   204    1.806               5              29               7          0.0482;
   205    1.815               5              30               7          0.0495;
   206    1.824               5              31               7          0.0501;
   207    1.833               5              32               7          0.0507;
   208    1.842               5              33               8          0.0513;
   209    1.851               5              34               8          0.0519;
   210    1.859               5              36               9          0.0531;
   211    1.868               6              37               9          0.0537;
   212    1.877               6              39              10          0.0543;
   213    1.886               6              40              10          0.0556;
   214    1.895               6              42              10          0.0562;
   215    1.904               6              44              11          0.0568;
   216    1.913               6              46              11          0.0574;
   217    1.921               6              48              12          0.0586;
